little grebe,missouri,april 15
long-tailed duck,michigan,may 04
long-tailed duck,missouri,may 09
albatross,maine,august 12
long-tailed duck,kansas,july 30
shoebill,new york,july 14
vulture,michigan,july 27
flamingo,kentucky,june 20
common teal,maine,september 14
albatross,maine,june 26
heron,michigan,february 24
common teal,new york,july 06
shoebill,maine,july 26
albatross,michigan,july 03
albatross,maine,may 30
long-tailed duck,michigan,september 02
little grebe,kentucky,april 11
albatross,kansas,may 25
stork,new york,may 17
shoebill,new york,august 27
common teal,michigan,june 29
stork,kentucky,july 03
bald eagle,kentucky,june 05
heron,new york,may 19
albatross,kansas,july 12
stork,maine,july 31
common teal,new york,august 08
shoebill,maine,may 07
vulture,missouri,august 11
albatross,michigan,june 11
shoebill,kansas,may 04
heron,michigan,october 03
bald eagle,new york,june 11
albatross,kansas,september 05
vulture,michigan,july 10
long-tailed duck,new york,july 24
long-tailed duck,kansas,april 26
flamingo,new york,july 30
albatross,kentucky,june 27
vulture,missouri,march 29
long-tailed duck,kentucky,june 12
stork,new york,september 07
stork,maine,july 14
stork,kansas,september 24
heron,michigan,april 30
flamingo,michigan,august 28
little grebe,kentucky,september 09
stork,maine,august 31
flamingo,missouri,october 26
shoebill,maine,july 05
bald eagle,kansas,august 21
little grebe,michigan,may 26
little grebe,michigan,may 23
little grebe,kentucky,june 10
common teal,kentucky,july 30
flamingo,new york,august 13
little grebe,kansas,june 13
albatross,new york,may 20
flamingo,kentucky,july 31
common teal,michigan,september 20
bald eagle,missouri,may 10
stork,missouri,may 25
vulture,kentucky,august 06
common teal,kansas,may 16
vulture,kentucky,july 27
vulture,kentucky,june 11
common teal,new york,september 08
flamingo,kansas,september 20
heron,kentucky,march 04
vulture,maine,may 30
albatross,kansas,october 10
vulture,maine,september 21
albatross,new york,september 02
long-tailed duck,kansas,august 03
long-tailed duck,michigan,september 09
long-tailed duck,missouri,august 19
common teal,maine,april 03
shoebill,missouri,september 14
heron,kansas,july 14
flamingo,maine,october 11
common teal,missouri,august 25
shoebill,new york,july 24
heron,missouri,june 21
long-tailed duck,michigan,september 21
stork,michigan,august 08
common teal,kentucky,june 10
long-tailed duck,kentucky,july 17
flamingo,new york,july 19
shoebill,missouri,june 23
long-tailed duck,missouri,august 11
long-tailed duck,missouri,october 12
heron,michigan,july 09
vulture,missouri,september 07
albatross,missouri,july 25
flamingo,new york,june 22
heron,kansas,july 30
albatross,missouri,august 14
stork,kansas,august 26
common teal,kansas,april 30
long-tailed duck,missouri,june 03
heron,kentucky,august 30
bald eagle,kentucky,may 05
little grebe,maine,may 30
heron,new york,june 12
shoebill,kentucky,june 27
vulture,kentucky,march 10
vulture,missouri,july 23
long-tailed duck,michigan,may 26
vulture,kansas,july 24
vulture,missouri,april 16
common teal,maine,august 10
little grebe,maine,june 12
vulture,michigan,august 25
flamingo,kansas,august 04
albatross,kansas,may 17
bald eagle,maine,june 16
common teal,kansas,september 21
shoebill,michigan,july 23
flamingo,new york,july 19
bald eagle,new york,september 02
shoebill,maine,october 18
bald eagle,michigan,april 10
heron,kentucky,june 25
shoebill,kentucky,july 05
bald eagle,new york,june 19
stork,maine,august 14
little grebe,missouri,june 12
vulture,missouri,august 20
stork,missouri,may 05
bald eagle,kentucky,july 28
bald eagle,new york,june 29
bald eagle,kansas,august 03
shoebill,michigan,november 03
albatross,maine,april 20
common teal,new york,august 21
heron,michigan,june 10
bald eagle,kansas,july 05
shoebill,missouri,june 29
long-tailed duck,kansas,july 17
common teal,maine,august 07
little grebe,maine,june 13
stork,missouri,august 17
flamingo,missouri,july 08
little grebe,missouri,september 19
flamingo,new york,august 27
flamingo,new york,july 28
little grebe,kentucky,april 11
bald eagle,new york,august 21
flamingo,new york,november 13
heron,michigan,july 21
shoebill,kentucky,july 20
long-tailed duck,missouri,august 26
little grebe,missouri,october 11
shoebill,kentucky,august 05
stork,kansas,june 03
shoebill,maine,september 18
vulture,kentucky,june 30
vulture,maine,july 14
shoebill,kansas,august 28
long-tailed duck,kentucky,august 16
albatross,missouri,february 18
albatross,kansas,may 19
flamingo,kentucky,june 05
stork,kentucky,august 23
flamingo,michigan,may 27
common teal,missouri,may 31
flamingo,new york,september 13
flamingo,new york,june 03
little grebe,new york,september 15
long-tailed duck,maine,april 29
shoebill,missouri,september 18
shoebill,kansas,june 23
flamingo,kansas,june 19
common teal,maine,october 02
heron,michigan,august 02
little grebe,michigan,august 30
vulture,missouri,august 29
long-tailed duck,kansas,july 18
long-tailed duck,kentucky,august 02
long-tailed duck,maine,october 22
stork,kentucky,august 31
long-tailed duck,new york,june 12
stork,missouri,june 27
common teal,maine,may 22
flamingo,missouri,june 21
flamingo,missouri,june 09
common teal,kansas,october 17
vulture,kentucky,august 09
shoebill,michigan,april 25
bald eagle,kentucky,june 14
vulture,kansas,october 29
shoebill,missouri,may 28
heron,kansas,july 27
bald eagle,new york,june 17
stork,missouri,july 13
stork,new york,august 21
heron,kentucky,september 15
stork,kansas,july 21
little grebe,new york,july 31
bald eagle,missouri,june 12
common teal,new york,august 07
common teal,kansas,august 24
stork,michigan,june 26
heron,kansas,september 23
vulture,new york,september 18
flamingo,kentucky,april 01
stork,maine,may 13
stork,kansas,july 07
heron,kansas,july 07
stork,new york,september 12
heron,kansas,june 30
shoebill,michigan,may 31
flamingo,missouri,november 30
albatross,kentucky,july 29
heron,kentucky,august 08
heron,missouri,october 31
vulture,kentucky,may 02
shoebill,missouri,june 20
long-tailed duck,kansas,august 22
long-tailed duck,michigan,june 28
heron,kentucky,november 13
flamingo,missouri,june 10
long-tailed duck,kentucky,september 11
bald eagle,maine,june 06
little grebe,missouri,july 17
albatross,michigan,june 19
bald eagle,new york,august 19
common teal,new york,august 06
shoebill,kentucky,july 08
long-tailed duck,kansas,may 21
albatross,missouri,august 17
stork,missouri,october 25
common teal,kansas,august 01
bald eagle,kentucky,august 04
shoebill,new york,july 28
bald eagle,kentucky,august 20
bald eagle,missouri,september 12
stork,kentucky,june 25
vulture,missouri,september 25
long-tailed duck,michigan,may 12
heron,missouri,august 10
albatross,kentucky,july 26
stork,maine,july 16
shoebill,missouri,may 30
heron,kansas,june 02
shoebill,maine,july 23
long-tailed duck,kansas,august 30
flamingo,maine,july 12
little grebe,maine,june 14
heron,new york,october 05
long-tailed duck,new york,june 28
bald eagle,missouri,september 05
common teal,kansas,july 29
vulture,michigan,june 29
long-tailed duck,new york,may 19
common teal,new york,august 10
shoebill,michigan,august 31
common teal,new york,june 30
bald eagle,new york,june 17
flamingo,missouri,september 28
flamingo,missouri,august 07
stork,kansas,september 14
little grebe,michigan,july 15
albatross,kansas,june 14
long-tailed duck,kentucky,august 29
stork,maine,june 28
long-tailed duck,missouri,august 11
vulture,new york,june 28
shoebill,kentucky,august 10
long-tailed duck,new york,september 30
stork,missouri,june 27
common teal,new york,august 12
flamingo,missouri,july 14
albatross,new york,july 30
common teal,maine,june 05
shoebill,kansas,august 02
little grebe,kentucky,august 02
little grebe,kentucky,august 06
vulture,kentucky,july 10
common teal,kentucky,august 25
bald eagle,kentucky,september 04
shoebill,michigan,october 07
flamingo,missouri,may 31
stork,michigan,september 03
shoebill,missouri,september 26
shoebill,kentucky,july 08
albatross,michigan,june 15
heron,maine,august 20
vulture,new york,july 11
stork,kentucky,may 29
albatross,missouri,may 22
vulture,michigan,may 03
albatross,kansas,july 24
albatross,kansas,july 27
long-tailed duck,michigan,august 15
albatross,new york,july 02
vulture,missouri,july 03
common teal,maine,september 28
heron,new york,june 27
stork,kansas,july 11
shoebill,kansas,july 08
flamingo,maine,july 12
little grebe,missouri,august 26
long-tailed duck,maine,september 11
albatross,new york,april 29
vulture,kansas,june 23
stork,new york,july 19
little grebe,maine,june 07
common teal,kansas,march 06
heron,michigan,august 24
albatross,kansas,july 13
little grebe,new york,august 31
common teal,michigan,may 29
heron,kentucky,august 10
shoebill,new york,august 05
bald eagle,new york,april 01
flamingo,kentucky,june 06
common teal,maine,april 12
shoebill,michigan,july 22
heron,missouri,july 30
little grebe,kentucky,august 16
flamingo,missouri,august 07
vulture,maine,august 02
bald eagle,maine,august 02
heron,new york,september 22
long-tailed duck,kentucky,july 27
albatross,missouri,august 22
albatross,maine,july 30
stork,maine,june 20
bald eagle,kentucky,september 24
flamingo,kansas,june 02
flamingo,new york,may 27
stork,missouri,july 23
little grebe,new york,july 03
shoebill,new york,april 25
shoebill,maine,july 17
flamingo,missouri,august 05
heron,missouri,july 10
albatross,new york,june 03
heron,kentucky,june 05
common teal,new york,july 02
long-tailed duck,kansas,november 30
bald eagle,kentucky,june 14
bald eagle,michigan,july 13
shoebill,kansas,september 03
common teal,new york,june 16
shoebill,michigan,july 25
flamingo,kentucky,august 12
vulture,new york,july 25
shoebill,missouri,august 19
heron,maine,september 17
flamingo,kentucky,july 27
stork,kentucky,november 11
bald eagle,michigan,june 20
heron,kentucky,july 30
vulture,michigan,september 15
shoebill,maine,august 15
albatross,kentucky,may 31
shoebill,kentucky,july 22
common teal,new york,may 08
common teal,missouri,july 12
long-tailed duck,kentucky,september 03
albatross,new york,june 05
vulture,new york,july 25
stork,kansas,july 14
little grebe,michigan,june 10
little grebe,kansas,may 05
shoebill,maine,september 16
little grebe,missouri,july 12
heron,michigan,august 22
little grebe,michigan,june 12
little grebe,maine,july 08
heron,kentucky,july 18
stork,new york,august 02
little grebe,kansas,june 12
little grebe,michigan,july 14
albatross,kansas,july 19
long-tailed duck,maine,july 11
heron,kansas,november 07
common teal,kentucky,august 09
heron,maine,may 21
common teal,michigan,august 15
heron,kentucky,september 21
albatross,missouri,september 01
flamingo,missouri,october 30
shoebill,kansas,may 08
long-tailed duck,michigan,september 11
vulture,kansas,july 22
stork,missouri,september 09
shoebill,new york,june 07
common teal,maine,june 26
vulture,kansas,may 30
flamingo,michigan,june 07
albatross,maine,may 14
stork,missouri,july 17
heron,kansas,july 14
stork,missouri,july 04
long-tailed duck,kentucky,september 11
little grebe,maine,april 20
common teal,missouri,september 05
flamingo,maine,august 03
little grebe,maine,august 16
stork,new york,may 19
long-tailed duck,new york,july 31
albatross,kentucky,august 31
long-tailed duck,new york,september 03
common teal,maine,august 11
shoebill,kentucky,june 27
shoebill,missouri,september 30
common teal,missouri,september 15
shoebill,kentucky,august 01
long-tailed duck,missouri,june 14
long-tailed duck,michigan,july 07
heron,michigan,september 18
long-tailed duck,kentucky,july 19
shoebill,kansas,may 29
stork,kansas,august 14
stork,missouri,august 18
common teal,missouri,july 04
long-tailed duck,michigan,july 14
vulture,maine,september 13
long-tailed duck,kentucky,july 04
common teal,maine,july 31
little grebe,missouri,july 16
albatross,new york,august 27
vulture,kansas,april 02
stork,new york,june 02
shoebill,new york,june 22
flamingo,kansas,may 22
common teal,kansas,april 14
common teal,maine,may 25
albatross,kentucky,july 13
bald eagle,kansas,july 28
vulture,kansas,may 15
albatross,missouri,july 07
bald eagle,new york,march 04
heron,maine,august 20
shoebill,new york,june 08
bald eagle,missouri,october 13
stork,maine,august 05
stork,michigan,july 23
common teal,kentucky,july 07
flamingo,kentucky,july 11
little grebe,kentucky,may 11
long-tailed duck,kentucky,april 14
flamingo,michigan,august 16
long-tailed duck,new york,may 29
stork,maine,july 19
little grebe,michigan,july 12
albatross,kansas,august 06
shoebill,kansas,september 08
bald eagle,kansas,september 07
heron,kentucky,july 25
stork,missouri,october 15
little grebe,kansas,may 24
common teal,missouri,july 22
stork,maine,june 17
stork,maine,october 01
shoebill,kansas,august 05
stork,maine,june 04
heron,kansas,july 11
long-tailed duck,maine,september 26
stork,kansas,june 05
shoebill,kentucky,march 16
stork,kansas,may 27
common teal,maine,august 19
little grebe,maine,july 18
vulture,missouri,may 28
albatross,michigan,september 06
albatross,new york,august 28
long-tailed duck,new york,may 15
bald eagle,new york,august 29
long-tailed duck,new york,september 05
vulture,new york,september 19
stork,missouri,june 29
shoebill,new york,july 06
little grebe,kansas,september 16
shoebill,kansas,september 28
vulture,kentucky,september 04
albatross,michigan,october 01
albatross,maine,june 23
heron,kansas,july 27
bald eagle,kansas,july 02
albatross,new york,august 18
vulture,kentucky,october 29
common teal,maine,july 22
flamingo,missouri,may 28
common teal,kansas,may 01
common teal,kansas,october 17
long-tailed duck,maine,august 13
little grebe,kentucky,october 07
bald eagle,new york,october 02
bald eagle,new york,july 30
long-tailed duck,kentucky,july 16
heron,new york,october 08
bald eagle,michigan,october 29
little grebe,new york,july 25
albatross,maine,april 07
vulture,kentucky,june 17
shoebill,kentucky,september 15
common teal,michigan,september 20
common teal,kentucky,july 29
flamingo,new york,august 02
albatross,kansas,june 26
heron,kansas,september 13
bald eagle,new york,october 27
flamingo,kentucky,july 26
long-tailed duck,kentucky,may 27
little grebe,michigan,september 01
heron,new york,july 27
little grebe,michigan,may 15
vulture,kentucky,july 06
shoebill,maine,july 28
albatross,michigan,august 23
shoebill,new york,april 24
albatross,kentucky,june 12
flamingo,new york,june 01
vulture,kentucky,april 05
heron,kansas,august 21
shoebill,michigan,june 29
common teal,new york,november 07
albatross,kentucky,may 30
stork,missouri,july 04
common teal,maine,june 19
flamingo,new york,august 30
long-tailed duck,kentucky,july 28
flamingo,new york,april 28
long-tailed duck,new york,may 24
shoebill,maine,june 24
common teal,maine,july 19
stork,kansas,september 10
stork,kentucky,july 04
stork,maine,september 02
heron,new york,july 18
long-tailed duck,kentucky,may 06
little grebe,kentucky,may 18
long-tailed duck,michigan,april 18
stork,missouri,october 03
long-tailed duck,kansas,august 19
common teal,new york,august 10
flamingo,missouri,august 26
flamingo,kansas,june 15
flamingo,new york,september 01
flamingo,new york,july 22
stork,michigan,july 01
heron,maine,june 09
long-tailed duck,michigan,july 04
shoebill,kentucky,may 15
vulture,kansas,october 02
bald eagle,missouri,may 25
shoebill,maine,june 19
common teal,maine,may 24
little grebe,michigan,june 27
vulture,new york,august 28
flamingo,maine,september 03
little grebe,kansas,may 18
shoebill,missouri,july 08
little grebe,kansas,august 12
shoebill,new york,july 02
shoebill,new york,july 22
bald eagle,kansas,june 09
stork,michigan,july 09
long-tailed duck,michigan,july 01
common teal,missouri,november 23
little grebe,kansas,july 15
little grebe,kentucky,july 22
long-tailed duck,kentucky,may 26
little grebe,kansas,june 15
vulture,michigan,june 28
bald eagle,new york,may 29
stork,kentucky,july 06
little grebe,new york,august 13
shoebill,michigan,may 16
common teal,kentucky,october 07
stork,missouri,july 24
common teal,michigan,july 01
stork,michigan,august 12
heron,new york,july 28
vulture,new york,august 29
common teal,kentucky,may 13
albatross,missouri,july 08
albatross,michigan,november 12
vulture,missouri,november 15
little grebe,michigan,june 26
albatross,kentucky,july 31
heron,new york,may 05
stork,kentucky,october 25
albatross,michigan,july 11
little grebe,missouri,may 31
shoebill,kansas,august 25
long-tailed duck,michigan,june 05
stork,kentucky,july 18
heron,michigan,august 04
bald eagle,new york,july 08
heron,kentucky,july 11
albatross,kentucky,november 11
long-tailed duck,michigan,may 05
stork,michigan,july 21
heron,kansas,july 22
stork,michigan,may 30
common teal,michigan,september 15
shoebill,new york,june 03
bald eagle,maine,march 29
shoebill,michigan,august 28
little grebe,kansas,june 26
little grebe,new york,july 28
little grebe,kentucky,july 06
bald eagle,new york,july 22
vulture,michigan,october 16
little grebe,michigan,july 06
bald eagle,michigan,july 24
common teal,kentucky,august 03
heron,michigan,june 01
bald eagle,maine,june 17
shoebill,kansas,september 04
long-tailed duck,new york,august 29
heron,michigan,july 31
shoebill,new york,july 24
flamingo,michigan,june 27
stork,michigan,august 24
stork,kentucky,july 06
vulture,missouri,november 19
bald eagle,new york,july 13
vulture,kansas,july 09
stork,kansas,october 15
bald eagle,new york,august 30
little grebe,maine,september 20
bald eagle,kansas,april 19
little grebe,maine,july 09
long-tailed duck,michigan,may 08
bald eagle,kentucky,june 16
little grebe,new york,july 10
vulture,kansas,july 28
albatross,kansas,august 10
flamingo,missouri,august 23
little grebe,kentucky,june 25
bald eagle,kansas,may 29
bald eagle,maine,september 24
long-tailed duck,kentucky,july 11
flamingo,maine,may 16
bald eagle,kansas,september 04
heron,kentucky,july 11
shoebill,kentucky,august 22
albatross,michigan,june 26
heron,missouri,april 28
common teal,michigan,september 20
stork,kentucky,august 19
flamingo,missouri,august 12
bald eagle,kansas,july 08
stork,kansas,august 31
heron,maine,june 29
shoebill,kansas,july 11
vulture,maine,may 23
common teal,maine,june 26
shoebill,kentucky,august 02
little grebe,michigan,april 25
shoebill,new york,july 23
bald eagle,kansas,august 18
bald eagle,michigan,july 07
common teal,kansas,june 10
shoebill,missouri,august 06
long-tailed duck,kentucky,june 29
flamingo,maine,june 29
long-tailed duck,new york,july 22
long-tailed duck,michigan,june 28
vulture,maine,august 30
long-tailed duck,new york,july 01
little grebe,maine,august 01
bald eagle,missouri,august 13
bald eagle,new york,july 10
heron,missouri,june 25
long-tailed duck,kentucky,october 25
albatross,kentucky,may 25
albatross,kentucky,august 24
flamingo,michigan,august 19
stork,missouri,october 21
shoebill,michigan,july 12
vulture,new york,june 08
bald eagle,kentucky,july 10
heron,kansas,june 14
stork,michigan,june 25
vulture,kentucky,june 09
stork,kansas,august 03
flamingo,kentucky,july 15
common teal,new york,august 03
long-tailed duck,kansas,september 05
shoebill,kansas,july 13
bald eagle,michigan,may 08
long-tailed duck,michigan,july 07
vulture,new york,september 14
vulture,new york,october 16
shoebill,new york,september 05
little grebe,kentucky,august 05
heron,new york,april 27
albatross,kansas,may 05
little grebe,kansas,june 22
shoebill,missouri,july 04
bald eagle,missouri,july 20
bald eagle,michigan,october 21
albatross,missouri,june 01
albatross,kentucky,july 28
shoebill,michigan,june 24
flamingo,missouri,september 08
common teal,michigan,august 22
bald eagle,missouri,june 01
common teal,new york,june 30
albatross,kentucky,september 11
albatross,maine,june 03
long-tailed duck,new york,august 03
heron,kansas,may 19
shoebill,maine,june 04
long-tailed duck,missouri,june 20
little grebe,kansas,june 22
heron,kansas,june 22
common teal,kentucky,august 09
albatross,kansas,july 27
heron,new york,july 13
little grebe,missouri,june 14
albatross,maine,may 04
albatross,michigan,december 06
vulture,new york,august 28
albatross,kansas,july 18
little grebe,michigan,july 14
little grebe,kansas,august 30
heron,new york,june 22
long-tailed duck,kentucky,july 15
vulture,missouri,july 13
long-tailed duck,missouri,july 31
bald eagle,maine,august 04
flamingo,kansas,july 17
albatross,michigan,september 14
vulture,kentucky,june 14
bald eagle,missouri,june 24
albatross,new york,october 13
long-tailed duck,kansas,june 30
vulture,maine,june 02
albatross,missouri,april 18
heron,michigan,april 14
little grebe,kentucky,august 28
albatross,kansas,june 17
little grebe,maine,june 01
common teal,kentucky,june 23
little grebe,maine,october 07
shoebill,missouri,august 10
long-tailed duck,kansas,may 06
bald eagle,kentucky,september 04
albatross,kentucky,june 03
bald eagle,kentucky,july 14
heron,kentucky,october 06
shoebill,maine,august 14
long-tailed duck,maine,july 07
shoebill,missouri,august 16
little grebe,new york,may 19
bald eagle,kentucky,november 14
long-tailed duck,michigan,august 19
common teal,new york,june 05
heron,kentucky,july 17
little grebe,maine,july 17
shoebill,kansas,september 11
bald eagle,michigan,july 16
albatross,kansas,august 22
vulture,new york,april 22
long-tailed duck,missouri,october 06
vulture,kentucky,january 16
albatross,kansas,september 29
albatross,new york,july 12
bald eagle,missouri,august 15
albatross,maine,july 09
shoebill,michigan,august 14
albatross,kentucky,august 01
common teal,kansas,august 24
bald eagle,kentucky,june 28
heron,maine,july 30
little grebe,kansas,july 06
little grebe,kentucky,august 30
stork,new york,september 01
little grebe,kansas,july 27
stork,michigan,july 19
common teal,maine,june 21
stork,michigan,july 18
little grebe,maine,july 28
little grebe,kansas,june 20
common teal,kansas,may 04
shoebill,kansas,june 22
vulture,michigan,july 20
vulture,kentucky,august 21
heron,maine,may 03
stork,maine,september 22
long-tailed duck,missouri,august 27
common teal,kansas,july 01
stork,new york,may 30
flamingo,michigan,august 13
vulture,maine,april 16
albatross,new york,june 19
common teal,missouri,october 17
long-tailed duck,michigan,july 03
heron,maine,july 29
bald eagle,kansas,june 23
flamingo,new york,may 20
bald eagle,new york,may 24
albatross,maine,july 07
heron,missouri,august 20
stork,kansas,june 28
flamingo,new york,august 08
heron,maine,june 26
vulture,maine,may 06
heron,new york,november 12
common teal,kentucky,july 15
flamingo,missouri,july 02
flamingo,missouri,september 03
albatross,missouri,august 16
albatross,new york,june 11
long-tailed duck,michigan,october 04
common teal,missouri,august 24
flamingo,maine,may 02
flamingo,michigan,may 17
shoebill,missouri,november 05
little grebe,kentucky,september 15
vulture,kentucky,june 30
bald eagle,missouri,june 20
common teal,new york,december 08
heron,kansas,april 07
vulture,new york,may 01
long-tailed duck,kansas,june 03
bald eagle,kentucky,june 19
heron,michigan,march 15
heron,kansas,july 12
little grebe,michigan,may 05
little grebe,maine,august 19
shoebill,kentucky,july 07
flamingo,kentucky,september 21
shoebill,michigan,august 22
shoebill,new york,july 22
long-tailed duck,kentucky,july 13
stork,new york,july 11
little grebe,kentucky,august 04
bald eagle,kentucky,november 15
long-tailed duck,maine,june 15
flamingo,missouri,september 09
long-tailed duck,kansas,october 02
albatross,new york,july 01
stork,missouri,september 25
flamingo,kansas,july 23
little grebe,michigan,june 30
little grebe,maine,july 12
flamingo,new york,may 22
albatross,maine,june 18
flamingo,new york,july 01
stork,missouri,august 29
stork,kentucky,august 10
heron,new york,august 06
bald eagle,new york,september 23
albatross,michigan,july 20
vulture,kansas,august 10
albatross,michigan,july 10
stork,michigan,june 30
bald eagle,maine,july 12
shoebill,maine,july 20
stork,maine,july 19
flamingo,new york,may 17
vulture,maine,may 13
common teal,kansas,july 19
stork,kentucky,june 22
long-tailed duck,maine,september 13
shoebill,michigan,july 15
long-tailed duck,kansas,august 12
bald eagle,michigan,july 13
common teal,missouri,april 08
albatross,new york,june 20
long-tailed duck,kentucky,june 07
little grebe,new york,september 19
shoebill,new york,june 23
long-tailed duck,kansas,june 02
long-tailed duck,maine,july 28
vulture,michigan,july 09
long-tailed duck,michigan,april 24
heron,kentucky,june 16
stork,maine,august 07
heron,missouri,september 06
long-tailed duck,maine,august 27
vulture,michigan,april 29
common teal,michigan,july 20
heron,new york,july 03
albatross,michigan,may 08
common teal,kansas,may 13
albatross,new york,june 28
stork,kansas,april 24
stork,michigan,june 16
shoebill,missouri,october 10
long-tailed duck,michigan,august 30
vulture,kansas,july 17
long-tailed duck,missouri,september 20
stork,kentucky,april 05
flamingo,missouri,june 07
vulture,new york,april 26
vulture,maine,august 03
long-tailed duck,new york,november 04
flamingo,new york,may 24
bald eagle,michigan,july 09
stork,kentucky,may 25
long-tailed duck,missouri,may 23
little grebe,new york,september 06
albatross,michigan,september 22
common teal,kentucky,july 03
heron,new york,june 24
vulture,missouri,may 31
vulture,new york,july 24
stork,missouri,august 29
bald eagle,new york,june 02
stork,kentucky,august 01
stork,new york,september 08
heron,missouri,september 12
long-tailed duck,michigan,august 29
shoebill,missouri,august 28
little grebe,kansas,august 05
stork,michigan,april 03
bald eagle,kansas,august 15
bald eagle,kansas,august 14
vulture,new york,july 24
common teal,missouri,september 15
long-tailed duck,kansas,july 14
bald eagle,kentucky,august 04
shoebill,missouri,august 04
albatross,missouri,september 09
long-tailed duck,kentucky,october 03
flamingo,kentucky,august 31
little grebe,maine,september 03
vulture,michigan,may 25
heron,kansas,june 30
long-tailed duck,maine,september 27
albatross,missouri,july 08
vulture,kentucky,may 14
heron,new york,august 30
albatross,kentucky,july 22
common teal,missouri,october 11
long-tailed duck,kentucky,june 23
little grebe,maine,august 14
common teal,kentucky,april 05
heron,missouri,may 06
heron,missouri,february 22
albatross,michigan,july 15
stork,kansas,august 27
bald eagle,kentucky,august 17
flamingo,new york,september 04
albatross,michigan,june 30
albatross,new york,july 17
flamingo,maine,august 25
flamingo,missouri,august 30
shoebill,kansas,may 08
vulture,missouri,october 26
vulture,maine,may 24
vulture,michigan,july 12
common teal,maine,june 29
flamingo,missouri,june 09
flamingo,maine,august 22
bald eagle,kansas,july 27
bald eagle,missouri,august 06
flamingo,michigan,march 25
common teal,new york,august 14
common teal,kentucky,august 13
bald eagle,michigan,august 06
vulture,missouri,july 28
common teal,new york,july 12
vulture,michigan,july 05
vulture,missouri,july 14
bald eagle,kentucky,july 16
long-tailed duck,michigan,july 15
vulture,kentucky,april 14
stork,new york,august 29
bald eagle,kentucky,july 05
vulture,missouri,august 15
common teal,missouri,september 25
bald eagle,missouri,may 01
bald eagle,missouri,october 29
common teal,michigan,july 05
vulture,kentucky,october 05
little grebe,michigan,october 03
shoebill,missouri,july 23
shoebill,kentucky,july 15
stork,new york,july 11
common teal,kentucky,july 02
little grebe,kentucky,july 17
stork,missouri,august 07
vulture,kentucky,august 26
vulture,new york,august 10
heron,kentucky,august 02
albatross,kansas,august 03
albatross,kansas,may 30
stork,maine,september 04
heron,maine,august 12
heron,kentucky,july 09
shoebill,maine,july 27
common teal,maine,july 14
shoebill,new york,december 19
flamingo,michigan,may 21
bald eagle,new york,june 29
long-tailed duck,kansas,august 27
long-tailed duck,kansas,september 28
heron,kentucky,august 06
heron,maine,september 27
albatross,kentucky,july 02
flamingo,missouri,may 25
common teal,new york,july 13
vulture,missouri,june 22
bald eagle,michigan,august 10
vulture,michigan,june 29
bald eagle,new york,june 10
shoebill,kansas,october 03
stork,kansas,june 03
common teal,maine,august 19
bald eagle,kansas,april 15
shoebill,kansas,september 24
albatross,new york,june 03
stork,kentucky,july 26
flamingo,new york,april 09
bald eagle,kentucky,may 08
long-tailed duck,kansas,july 01
stork,kentucky,july 14
little grebe,kansas,april 23
long-tailed duck,kentucky,may 01
albatross,new york,august 01
flamingo,kentucky,august 04
